date,order_count,revenue,order_count_roll_mean,order_count_roll_std,order_count_zscore,revenue_roll_mean,revenue_roll_std,revenue_zscore,has_anomaly
2016-10-20,0,0.0,10.571428571428571,17.770824342224472,-0.5948755312554784,1869.51,3315.1910325813337,-0.5639222541406094,True
2016-10-21,0,0.0,7.357142857142857,14.90279861614612,-0.49367525165185533,1287.7764285714286,2804.6808385724553,-0.4591525748173505,True
2016-10-22,0,0.0,4.5,11.640446726822821,-0.3865831016288018,617.5357142857143,1571.1746249307782,-0.39304078902936795,True
2016-10-23,0,0.0,2.642857142857143,9.88866595075971,-0.2672612419124242,320.9564285714286,1200.908991796868,-0.26726124191242456,True
2016-10-24,0,0.0,0.0,,,0.0,,,True
2016-10-25,0,0.0,0.0,,,0.0,,,True
2016-10-26,0,0.0,0.0,,,0.0,,,True
2016-10-27,0,0.0,0.0,,,0.0,,,True
2016-10-28,0,0.0,0.0,,,0.0,,,True
2016-10-29,0,0.0,0.0,,,0.0,,,True
2016-10-30,0,0.0,0.0,,,0.0,,,True
2016-10-31,0,0.0,0.0,,,0.0,,,True
2016-11-01,0,0.0,0.0,,,0.0,,,True
2016-11-02,0,0.0,0.0,,,0.0,,,True
2016-11-03,0,0.0,0.0,,,0.0,,,True
2016-11-04,0,0.0,0.0,,,0.0,,,True
2016-11-05,0,0.0,0.0,,,0.0,,,True
2016-11-06,0,0.0,0.0,,,0.0,,,True
2016-11-07,0,0.0,0.0,,,0.0,,,True
2016-11-08,0,0.0,0.0,,,0.0,,,True
2016-11-09,0,0.0,0.0,,,0.0,,,True
2016-11-10,0,0.0,0.0,,,0.0,,,True
2016-11-11,0,0.0,0.0,,,0.0,,,True
2016-11-12,0,0.0,0.0,,,0.0,,,True
2016-11-13,0,0.0,0.0,,,0.0,,,True
2016-11-14,0,0.0,0.0,,,0.0,,,True
2016-11-15,0,0.0,0.0,,,0.0,,,True
2016-11-16,0,0.0,0.0,,,0.0,,,True
2016-11-17,0,0.0,0.0,,,0.0,,,True
2016-11-18,0,0.0,0.0,,,0.0,,,True
2016-11-19,0,0.0,0.0,,,0.0,,,True
2016-11-20,0,0.0,0.0,,,0.0,,,True
2016-11-21,0,0.0,0.0,,,0.0,,,True
2016-11-22,0,0.0,0.0,,,0.0,,,True
2016-11-23,0,0.0,0.0,,,0.0,,,True
2016-11-24,0,0.0,0.0,,,0.0,,,True
2016-11-25,0,0.0,0.0,,,0.0,,,True
2016-11-26,0,0.0,0.0,,,0.0,,,True
2016-11-27,0,0.0,0.0,,,0.0,,,True
2016-11-28,0,0.0,0.0,,,0.0,,,True
2016-11-29,0,0.0,0.0,,,0.0,,,True
2016-11-30,0,0.0,0.0,,,0.0,,,True
2016-12-01,0,0.0,0.0,,,0.0,,,True
2016-12-02,0,0.0,0.0,,,0.0,,,True
2016-12-03,0,0.0,0.0,,,0.0,,,True
2016-12-04,0,0.0,0.0,,,0.0,,,True
2016-12-05,0,0.0,0.0,,,0.0,,,True
2016-12-06,0,0.0,0.0,,,0.0,,,True
2016-12-07,0,0.0,0.0,,,0.0,,,True
2016-12-08,0,0.0,0.0,,,0.0,,,True
2016-12-09,0,0.0,0.0,,,0.0,,,True
2016-12-10,0,0.0,0.0,,,0.0,,,True
2016-12-11,0,0.0,0.0,,,0.0,,,True
2016-12-12,0,0.0,0.0,,,0.0,,,True
2016-12-13,0,0.0,0.0,,,0.0,,,True
2016-12-14,0,0.0,0.0,,,0.0,,,True
2016-12-15,0,0.0,0.0,,,0.0,,,True
2016-12-16,0,0.0,0.0,,,0.0,,,True
2016-12-17,0,0.0,0.0,,,0.0,,,True
2016-12-18,0,0.0,0.0,,,0.0,,,True
2016-12-19,0,0.0,0.0,,,0.0,,,True
2016-12-20,0,0.0,0.0,,,0.0,,,True
2016-12-21,0,0.0,0.0,,,0.0,,,True
2016-12-22,0,0.0,0.0,,,0.0,,,True
2016-12-23,1,19.62,0.07142857142857142,0.2672612419124244,3.474396144861517,1.4014285714285715,5.243665566321766,3.474396144861517,True
2016-12-24,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-25,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-26,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-27,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-28,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-29,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-30,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2016-12-31,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2017-01-01,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2017-01-02,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2017-01-03,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
2017-01-04,0,0.0,0.07142857142857142,0.2672612419124244,-0.26726124191242434,1.4014285714285715,5.243665566321766,-0.2672612419124244,True
