seller_id,seller_city,seller_state,total_orders,total_items_sold,total_revenue,avg_item_price,total_freight,avg_seller_review
9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,sp,151,200,32720.4,163.6,2823.42,4.09
2528513dd95219a6013d4d05176e391a,osasco,sp,160,166,32660.2,196.75,3740.77,3.96
70eea00b476a314817cefde4aad4f89a,itatiba,sp,106,112,31424.75,280.58,2724.91,4.38
0241d4d5d36f10f80c644447315af0bd,curitiba,pr,238,246,31397.7,127.63,6853.91,4.31
88460e8ebdecbfecb5f9601833981930,maringa,pr,246,300,31320.4,104.4,4938.19,3.37
7681ef142fd2c19048da7430856b5588,guarulhos,sp,58,76,31211.81,410.68,2862.86,4.16
87142160b41353c4e5fca2360caf6f92,porto alegre,rs,305,339,31095.98,91.73,7218.33,4.36
855668e0971d4dfd7bef1b6a4133b41b,itatiba,sp,300,311,30849.22,99.19,7559.34,3.83
e59aa562b9f8076dd550fcddf0e73491,curitiba,pr,69,82,30716.3,374.59,2160.07,4.33
76d5af76d0271110f9af36c92573f765,sao paulo,sp,125,152,30497.6,200.64,3513.44,4.09
70a12e78e608ac31179aea7f8422044b,jacarei,sp,312,323,29963.53,92.77,5523.72,3.79
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,sp,463,512,29587.77,57.79,9696.16,4.08
d23019c84ffae2d5ef2270367b8605fc,londrina,pr,39,39,29205.1,748.85,2749.74,4.41
900ba814c251a692506d7834c1218441,salto,sp,86,86,28833.03,335.27,2334.43,4.23
1554a68530182680ad5c8b042c3ab563,monte siao,mg,241,262,28726.69,109.64,6650.06,4.26
0b90b6df587eb83608a64ea8b390cf07,maringa,pr,163,209,28492.76,136.33,3598.18,4.02
59b22a78efb79a4797979612b885db36,uberlandia,mg,125,133,27184.5,204.39,4897.57,3.97
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,sp,214,239,26833.61,112.27,5380.07,3.8
b32be1695eb7ec5f10f72d9610a12527,caxias do sul,rs,44,45,26575.0,590.56,2937.68,4.16
12b9676b00f60f3b700e83af21824c0e,montenegro,rs,133,133,26376.0,198.32,3525.67,4.54
7e1fb0a3ebfb01ffb3a7dae98bf3238d,franca,sp,155,169,26169.53,154.85,2883.09,4.16
a3a38f4affed601eb87a97788c949667,joinville,sc,249,258,26004.73,100.79,5144.22,4.41
de23c3b98a88888289c6f5cc1209054a,sao paulo,sp,161,178,25933.67,145.69,2646.19,4.31
9f505651f4a6abe901a56cdc21508025,sao paulo,sp,393,426,25912.84,60.83,5949.75,4.31
16090f2ca825584b5a147ab24aa30c86,atibaia,sp,398,406,25579.16,63.0,5404.86,4.07
b94cc9f10ddc85e4ba73a6f7974e7101,macae,rj,39,39,25346.1,649.9,1022.39,4.3
a416b6a846a11724393025641d4edd5e,sao paulo,sp,157,176,24930.24,141.65,2935.56,4.22
c003204e1ab016dfa150abc119207b24,cajamar,sp,195,200,24904.29,124.52,4714.17,4.44
